quy định tại điểm a điểm;theo điểm a điểm
hình thức xử phạt người điều khiển;cách phạt tài xế, mức phạt người lái
quy định tại điểm a khoản;theo điểm a khoản
điều khiển xe thực hiện một;lái xe thực hiện lỗi
xử phạt theo quy định;phạt theo luật
là người trực tiếp điều khiển;là người trực tiếp cầm lái
hành vi quy định tại khoản;lỗi quy định theo khoản
bị xử phạt theo quy định;bị phạt theo luật
giấy phép lưu hành;giấy phép đi đường, giấy lưu hành
thì bị xử phạt;thì bị phạt tiền/xử lý
hành vi vi phạm hành chính;lỗi vi phạm hành chính
xử phạt người điều khiển phương tiện;phạt tài xế, phạt người lái xe
đại diện điều khiển;người lái thay, đại diện lái
hoặc trực tiếp điều khiển;hoặc trực tiếp cầm lái
phương tiện hoặc để;xe hoặc để
hoặc trực tiếp điều khiển phương tiện;hoặc trực tiếp lái xe
đối với hành vi vi phạm;đối với lỗi vi phạm
làm công người đại diện điều khiển;người làm thuê lái xe
đại diện điều khiển phương tiện;đại diện lái xe
giao phương tiện hoặc để;giao xe hoặc để
giao phương tiện;giao xe
đại diện điều khiển phương tiện thực hiện;đại diện lái xe thực hiện
trực tiếp điều khiển phương tiện thực hiện;trực tiếp lái xe thực hiện
trường hợp chủ phương tiện;nếu là chủ xe
đưa phương tiện;đưa xe ra
tương ứng quy định tại điều;tương ứng theo điều
hành vi vi phạm tương ứng;lỗi vi phạm tương ứng
xe theo quy định;xe đúng luật
vi phạm tương ứng quy định;lỗi tương ứng quy định
hành vi vi phạm tương ứng quy định;lỗi vi phạm tương ứng quy định
vi phạm tương ứng;lỗi tương ứng
tương ứng quy định;tương ứng quy định
xử phạt trừ điểm;phạt trừ điểm
vi phạm hành chính về trật tự;vi phạm về trật tự
xử phạt trừ;phạt trừ
quy định được phép;luật cho phép
sử dụng giấy phép lái xe;dùng bằng lái xe
xử phạt trừ điểm giấy phép;phạt trừ điểm bằng lái
điều khiển xe chạy;lái xe chạy
phương tiện thì bị xử phạt;xe thì bị phạt
điều khiển xe thực hiện hành vi;lái xe mắc lỗi
không đúng quy định;sai quy định, trái luật
quy định được phép chở;luật cho phép chở
xử lý vi phạm hành chính;giải quyết vi phạm
giấy phép lái xe 02 điểm;bằng lái còn 2 điểm
sử dụng giấy phép chứng chỉ hành nghề;dùng chứng chỉ hành nghề
chở của phương tiện;chở trên xe
trừ hành vi vi phạm;ngoại trừ lỗi vi phạm
quyền sử dụng giấy phép chứng chỉ;quyền dùng bằng cấp/chứng chỉ
phép chở của phương tiện;số lượng được chở trên xe
phục hồi điểm giấy phép lái xe;hồi lại điểm bằng lái
đang điều khiển;đang lái xe
trừ hành vi vi phạm quy định;trừ lỗi vi phạm quy định
phương tiện là người trực tiếp;xe là người trực tiếp
trái quy định;trái luật, sai quy định
hành vi điều khiển;việc lái xe
phương tiện thiết bị kỹ thuật;máy móc thiết bị kỹ thuật
không có giấy phép;không bằng lái, không phép
phương tiện vi phạm;xe vi phạm
điều khiển xe trên đường;lái xe ngoài đường
xử phạt bổ sung;phạt thêm, phạt kèm theo
lái xe của người điều khiển;cách lái của tài xế
hình thức xử phạt bổ sung;mức phạt kèm theo
chạy quá tốc độ;phóng nhanh, quá tốc độ
đối với loại phương tiện;cho loại xe
tịch thu phương tiện;tịch thu xe, thu xe
quá quy định;vượt mức cho phép
tổ chức thực hiện hành vi vi phạm;công ty/tổ chức mắc lỗi
hành vi điều khiển xe;việc lái xe
điều khiển xe mô tô;lái xe máy
vượt quá quy định;vượt quá mức luật định
quy định hoặc làm;luật định hoặc làm
quy định của pháp luật;luật pháp quy định
vi phạm còn bị áp dụng;mắc lỗi còn bị
quy định hoặc làm sai lệch;quy định hoặc làm sai
loại phương tiện;loại xe
chạy quá tốc độ quy định;phóng nhanh quá mức cho phép
để vi phạm;để mắc lỗi
quy định tại các điểm;theo các điểm
đèn tín hiệu;đèn xanh, đèn đỏ
phương tiện được sử dụng;xe được dùng
sử dụng để vi phạm;dùng để mắc lỗi
để vi phạm hành chính;để phạm lỗi
sử dụng để vi phạm hành chính;dùng để vi phạm
phương tiện được sử dụng để;xe dùng để
loại xe có quy định;loại xe theo luật
xe có quy định;xe theo luật
giảm tốc độ;đi chậm lại, giảm ga
giao thông theo quy định;giao thông đúng luật
giấy phép lái xe như sau;bằng lái như sau
hậu quả quy định;hậu quả theo luật
biện pháp khắc phục hậu quả quy định;cách sửa sai theo luật
vi phạm còn bị trừ;mắc lỗi còn bị trừ
không có tín hiệu;không xi nhan, không báo hiệu
quyết định xử phạt vi phạm;lệnh phạt vi phạm
xe thực hiện hành vi vi phạm;xe mắc lỗi vi phạm
hơi thở có nồng độ;thổi có cồn
điểm giấy phép lái xe như;điểm bằng lái như
khắc phục hậu quả quy định;sửa chữa hậu quả theo luật
thực hiện đúng quy định;làm đúng luật
số người quy định;số khách theo luật
thở có nồng độ;có hơi men
giấy phép lái xe như;bằng lái xe như
đối với hành vi điều khiển;với việc lái xe
quyết định xử phạt vi phạm hành chính;lệnh phạt hành chính
quy định trừ;luật định trừ
trừ các hành vi vi phạm;ngoại trừ các lỗi
cấp giấy phép;cấp bằng, cấp phép
đối với chủ phương tiện;cho chủ xe
quyền sử dụng giấy phép lái xe;quyền dùng bằng lái
điều khiển xe chạy quá;lái xe chạy quá
xe chạy quá tốc độ;xe phóng nhanh
phát tín hiệu;bật đèn/còi báo hiệu
tang vật phương tiện được sử dụng;đồ vật xe dùng vi phạm
xe quy định;xe theo luật
quy định tại điều 32;theo điều 32
giấy phép lưu hành còn giá trị sử dụng;giấy phép còn hạn
đồng đối với hành vi vi phạm;tiền cho lỗi vi phạm
cấp giấy phép lái xe;cấp bằng lái
quá quy định được phép;vượt mức cho phép
phương tiện còn bị trừ;xe còn bị trừ
quy định tại điều 26;theo điều 26
xử phạt như;phạt giống như
lại giấy phép;lại bằng lái
đồng đối với hành vi điều khiển;tiền cho việc lái xe
loại phương tiện đang điều khiển;loại xe đang lái
giấy phép lái xe quốc tế;bằng lái quốc tế
vụ việc vi phạm;vụ vi phạm
quy định tại nghị định;theo nghị định
quy định trong giấy phép;ghi trong bằng lái
đối với hành vi điều khiển xe;cho lỗi lái xe
phương tiện đang điều khiển;xe đang lái
không giảm tốc độ;không đi chậm lại
giấy phép lái xe 04 điểm;bằng lái còn 4 điểm
giấy phép lái xe 06 điểm;bằng lái còn 6 điểm
tín hiệu báo;đèn/còi báo hiệu
cá nhân tổ chức vi phạm;người hay công ty mắc lỗi
thẩm quyền xử phạt vi phạm;quyền được phạt
lái xe theo quy định;lái xe đúng luật
thẩm quyền xử phạt vi phạm hành chính;quyền phạt hành chính
tín hiệu ưu tiên;đèn còi ưu tiên
tổ chức vi phạm;công ty vi phạm
phương tiện thiết bị kỹ thuật nghiệp vụ;xe máy móc nghiệp vụ
xử phạt cá nhân;phạt người vi phạm
quy định gây tai nạn;lỗi gây tai nạn
quy định gây tai nạn giao thông;lỗi gây tông xe
luật xử lý vi phạm hành chính;luật xử phạt
đối với các hành vi vi phạm;cho các lỗi vi phạm
luật xử lý vi phạm;luật xử vi phạm
giải quyết vụ việc vi phạm;xử lý vụ vi phạm
trừ điểm giấy phép lái xe;trừ điểm bằng lái
do vi phạm;vì mắc lỗi
điều khiển giao thông;điều phối xe cộ
hậu quả quy định tại khoản;hậu quả theo khoản
cơ sở dữ liệu về xử lý vi phạm;kho dữ liệu phạt
tín hiệu giao thông;đèn còi giao thông
quy định tại điều 20;theo điều 20
đèn tín hiệu giao thông;đèn xanh đèn đỏ
do vi phạm hành chính;vì lỗi hành chính
xử phạt bổ sung sau;phạt thêm sau
không thực hiện đúng quy định;không làm đúng luật
tịch thu tang vật phương tiện;thu xe và đồ vật
điều khiển xe chở;lái xe chở
điều khiển xe máy;lái xe máy
đúng nơi quy định;đúng chỗ, đúng nơi
nồng độ cồn vượt quá;cồn vượt mức
môi trường theo quy định;môi trường đúng luật
áp dụng các hình thức xử phạt;áp dụng các mức phạt
hình thức xử phạt bổ sung sau;mức phạt thêm sau
quy định tại điểm e khoản;theo điểm e khoản
nồng độ cồn vượt;cồn vượt
không đúng nơi quy định;đỗ sai chỗ, sai nơi
nơi quy định;chỗ quy định
điều khiển xe máy chuyên dùng;lái xe công trình/xe máy chuyên dùng
hình thức xử phạt cá nhân;cách phạt người vi phạm
xử phạt bổ sung sau đây;phạt thêm các lỗi sau
hoặc không có tín hiệu;hoặc không xi nhan
thiết bị phát tín hiệu;còi đèn báo hiệu
giấy phép lái xe 10 điểm;bằng lái còn 10 điểm
áp dụng hình thức xử phạt cá nhân;áp dụng mức phạt người vi phạm
điều khiển xe mô tô xe gắn máy;lái xe máy các loại
ngay phương tiện không giữ;xe không giữ
làn đường không đúng quy định;đi sai làn
không dừng ngay phương tiện;không dừng xe lại ngay
trường hợp giấy phép;nếu bằng lái
lập biên bản vi phạm hành chính;ghi biên bản phạt
phương tiện không giữ nguyên;xe không giữ nguyên
trên phương tiện;trên xe
phương tiện không giữ;xe không giữ
hoạt động theo quy định;chạy đúng luật
tốc độ hoặc dừng lại;tốc độ hoặc dừng
điểm phục hồi điểm giấy phép;điểm hồi lại bằng
trên xe theo quy định;trên xe đúng luật
sử dụng phương tiện;dùng xe
áp dụng xử phạt như;phạt giống như
bảo vệ môi trường theo quy định;giữ môi trường đúng luật
áp dụng xử phạt;áp dụng phạt
dừng ngay phương tiện;dừng xe ngay
phát hiện vi phạm;bắt quả tang vi phạm
mang theo giấy phép;cầm theo bằng lái
tốc độ hoặc dừng;tốc độ hoặc dừng
hoặc sử dụng giấy phép;hoặc dùng bằng lái
khẩn cấp theo quy định;cấp cứu đúng luật
quy định phải gắn;luật bắt gắn
vào đối với loại phương tiện;cho loại xe
giảm tốc độ hoặc dừng;đi chậm hoặc dừng
ngay phương tiện;xe ngay
nhiệm vụ khẩn cấp theo quy định;đi việc gấp đúng luật
quy định về điều kiện;luật về điều kiện
quy định b thực hiện;luật b làm
không tuân thủ các quy định;không nghe theo quy định
bảo đảm an toàn theo quy định;giữ an toàn đúng luật
quy định hiện hành;luật bây giờ
nghiệp vụ phương tiện;xe nghiệp vụ
điều khiển xe đạp;đạp xe, đi xe đạp
vi phạm quy tắc giao thông đường bộ;phạm luật giao thông
phương tiện tham gia;xe chạy trên đường
vi phạm điều khiển;mắc lỗi lái xe
không mang theo giấy phép;quên bằng lái
quy định phải kiểm định;xe phải đi đăng kiểm
điều khiển xe kể cả;lái xe tính cả
xử phạt cá nhân tổ chức;phạt người và công ty
quy định b điều khiển;quy định b lái
hoặc sử dụng giấy phép lái xe;hoặc dùng bằng lái xe
thiết bị kỹ thuật nghiệp vụ phương tiện;máy móc nghiệp vụ xe
nghiệp vụ phương tiện thiết bị kỹ thuật;nghiệp vụ xe máy móc
đưa phương tiện có chứng nhận;xe có giấy tờ
phương tiện có chứng nhận đăng ký;xe có cà vẹt
đối với người điều khiển phương tiện;cho người lái xe
ra quyết định xử phạt vi phạm;ra lệnh phạt
bị thay đổi do vi phạm;bị đổi vì mắc lỗi
thay đổi do vi phạm hành chính;đổi vì lỗi hành chính
quy định về biển số;luật về biển số xe
trường hợp giấy phép lái xe;nếu là bằng lái xe
thẩm quyền cấp giấy phép lái xe;quyền cấp bằng lái
quy định về biển;luật về biển
thiết bị theo quy định;máy móc đúng luật
quy định trong giấy phép lưu hành;ghi trong giấy đi đường
phương tiện nhưng tổng mức;xe nhưng tổng mức
quy định b thực hiện hành vi;luật b mắc lỗi
phương tiện tham gia giao thông;xe cộ đi lại
hoặc có giấy phép;hoặc có bằng
tuân thủ các quy định;nghe theo quy định
điều khiển xe kể cả rơ moóc;lái xe kéo theo rơ moóc
quy định phải gắn biển;luật bắt gắn biển
100 số người quy định;vượt gấp đôi số người
đối với hành vi vi phạm điều khiển;cho lỗi lái xe
hành vi vi phạm điều khiển xe;lỗi lái xe
hành chính có giá trị;phạt có hiệu lực
thay đổi do vi phạm;đổi vì mắc lỗi
để áp dụng xử phạt;để phạt
xử phạt như chủ;phạt như chủ xe
như chủ phương tiện;như chủ xe
tái phạm hành vi quy định;lại mắc lỗi cũ
thẩm quyền cấp giấy phép;quyền cấp bằng
thực hiện theo quy định;làm theo luật
kỹ thuật nghiệp vụ phương tiện;kỹ thuật xe
phương tiện có chứng nhận;xe có giấy tờ
vi phạm điều khiển xe;lỗi lái xe
phương tiện nhưng tổng;xe nhưng tổng
an toàn theo quy định;an toàn đúng luật
hành vi vi phạm điều khiển;lỗi lái xe
vi phạm quy tắc giao thông;phạm luật giao thông
ghi trong giấy phép;ghi trong bằng lái
xử phạt cá nhân tổ chức thực hiện;phạt người và công ty làm
bị tịch thu phương tiện;bị thu xe
vi phạm quy tắc;phạm luật
sử dụng thiết bị phát tín hiệu;dùng còi đèn báo
ghi trong biên bản vi phạm;ghi trong tờ phạt
đối tượng để áp dụng xử phạt;người bị phạt
để áp dụng xử phạt như;để phạt như
áp dụng xử phạt như chủ;phạt như chủ xe
xử phạt như chủ phương tiện;phạt giống chủ xe
vi phạm hành chính có giá trị;lỗi hành chính còn hiệu lực
điều khiển xe đạp xe đạp;đạp xe đạp
trường hợp quy định;nếu luật định
thu hồi giấy phép;thu bằng, lấy lại bằng
giấy phép lái xe bị tẩy;bằng lái bị tẩy xóa
điều khiển xe đi qua;lái xe đi qua
vi phạm hành chính đối với hành vi;lỗi hành chính cho việc
hành chính đối với hành vi vi phạm;phạt hành chính cho lỗi
tốc độ tối thiểu;tốc độ chậm nhất
vi phạm quy định về điều kiện;lỗi về điều kiện
quá số người quy định;chở quá người
quy định b điều khiển xe;quy định b lái xe
áp dụng hình thức xử phạt bổ sung;phạt thêm lỗi kèm
điều khiển xe đạp xe đạp máy;đi xe đạp máy
vi phạm hành chính đ áp dụng;lỗi hành chính đã phạt
cấp lại giấy phép;đổi lại bằng lái
đối với phương tiện;cho xe
mang theo giấy phép lái xe;cầm bằng lái xe
trừ trường hợp có giấy phép;trừ khi có bằng
trường hợp có giấy phép lưu hành;nếu có giấy đi đường
điều khiển xe lạng lách;lái xe đánh võng
phương tiện ra tham gia giao thông;đưa xe ra đường
điều khiển xe tham gia;lái xe đi đường
từng hành vi vi phạm;mỗi lỗi vi phạm
giữ phương tiện;giữ xe
lại giấy phép chứng chỉ hành nghề;lại bằng chuyên môn
đúng quy định về biển;đúng luật về biển
đưa phương tiện ra tham gia;đưa xe ra đường
phương tiện kinh doanh;xe chạy dịch vụ
hướng dẫn của người điều khiển;chỉ dẫn của tài xế
điều khiển xe kéo theo rơ moóc;lái xe đầu kéo
hành chính đối với hành vi;phạt hành chính cho việc
trường hợp có giấy phép;nếu có bằng
hồ sơ theo quy định;giấy tờ đúng luật
phương tiện ra tham gia;xe ra đường
lại giấy phép chứng chỉ;lại bằng cấp
điều khiển xe lạng lách đánh võng;lái xe đánh võng
phương tiện đối với người điều khiển;xe đối với tài xế
tạm giữ phương tiện;giữ xe lại
vi phạm theo quy định;lỗi theo luật
nơi phát hiện vi phạm;chỗ bị bắt
vi phạm điều khiển xe ô tô;lỗi lái xe hơi
vi phạm quy định về vận chuyển;lỗi chở hàng/người
hành chính đ áp dụng;phạt hành chính đã dùng
chủ phương tiện vi phạm;chủ xe mắc lỗi
những hành vi vi phạm;các lỗi vi phạm
điều khiển xe kéo theo rơ moóc sơ mi;lái xe container
không hoạt động theo quy định;không chạy đúng luật
quy định đối với loại;luật cho loại xe
quy định về vận chuyển;luật về chở hàng
hành khách theo quy định;khách theo luật
lại giấy phép lái xe;lại bằng lái
thời gian quy định;giờ quy định
đường quy định;đường theo luật
xe trừ hành vi vi phạm;xe trừ lỗi mắc
phương tiện thực hiện hành vi quy định;xe mắc lỗi theo luật
quy định tại điều 13;theo điều 13
đối với giấy phép;cho bằng lái
điều khiển xe ô tô chở;lái xe hơi chở
đến giải quyết vụ việc vi phạm;đến xử lý lỗi
phương tiện người điều khiển phương tiện;xe và tài xế
đúng quy định mỗi lần;đúng luật mỗi lần
quy định mỗi lần chuyển;luật mỗi lần rẽ
dữ liệu điểm giấy phép lái xe;kho điểm bằng lái
giấy phép lái xe được phục hồi;bằng lái được cộng lại điểm
giải quyết vụ việc vi phạm ghi;xử lý lỗi ghi trong
vi phạm ghi trong biên bản;lỗi ghi trong tờ phạt
phương tiện bị tạm giữ;xe bị giữ
quản lý hành chính về trật tự;quản lý trật tự
tín hiệu báo hướng rẽ;đèn xi nhan
trừ trường hợp điều khiển xe;trừ khi lái xe
quy định 4 phạt tiền;quy định 4 phạt
giấy phép lái xe đối với trường hợp;bằng lái cho nếu
không đúng quy định mỗi;sai luật mỗi
bằng phương tiện;bằng xe
đối với những hành vi vi phạm;cho các lỗi vi phạm
trường hợp điều khiển;nếu lái xe
quy định không có báo hiệu;luật không có còi đèn
xe quy định tại điều;xe theo điều
đầy đủ hồ sơ theo quy định;đủ giấy tờ đúng luật
cấp lại giấy phép lái xe;đổi lại bằng lái
hình thức xử phạt bổ sung tước;phạt thêm thu bằng
xử phạt bổ sung tước quyền;phạt thêm lấy bằng
đổi cấp lại giấy phép;đổi lại bằng
xử phạt các hành vi vi phạm;phạt các lỗi vi phạm
xử phạt đối với các hành vi;phạt cho các lỗi
phương tiện điều;xe lái
xóa giấy phép;hủy bằng lái
quản lý giấy phép;giữ bằng lái
quy định tham gia;luật đi đường
xử phạt đối với chủ phương tiện;phạt chủ xe
làm nhiệm vụ theo quy định;đi làm đúng luật
quy định 2 phạt tiền;quy định 2 phạt
giấy phép lái xe không thời hạn;bằng lái vô thời hạn
giấy phép lái xe có thời hạn;bằng lái có hạn
thời hạn khi người điều khiển;hạn khi tài xế
ô tô thực hiện hành vi vi phạm;xe hơi mắc lỗi
phương tiện không có giấy tờ;xe không giấy tờ
thì bị tịch thu phương tiện;thì bị thu xe luôn
điều khiển xe không gắn;lái xe không gắn
nguồn gốc xuất xứ của phương tiện;xe từ đâu ra
thời hiệu xử phạt vi phạm hành chính;hạn phạt hành chính
phương tiện khi tham gia;xe khi đi đường
rơ moóc b điều khiển;rơ moóc b lái
là người điều khiển;là tài xế
điều kiện của phương tiện;xe phải thế nào
xử phạt các hành vi;phạt các lỗi
tẩy xóa giấy phép;tẩy bằng lái
xóa giấy phép lái xe;hủy bằng lái
quy định đối với loại xe;luật cho loại xe
sơ mi rơ moóc b điều khiển;container b lái
rơ moóc b điều khiển xe;rơ moóc b lái xe
thông tin quản lý giấy phép;tin tức bằng lái
quản lý giấy phép lái xe;quản lý bằng lái
hành vi vi phạm để;mắc lỗi để
sát hạch theo quy định;thi bằng đúng luật
cảnh sát quản lý hành chính;cảnh sát hành chính
xử phạt đối với chủ;phạt chủ xe
đối với giấy phép lái xe;cho bằng lái xe
phương tiện kinh doanh vận tải;xe chạy dịch vụ khách/hàng
phương tiện vi phạm quy định;xe phạm luật
đối với từng hành vi vi phạm;cho mỗi lỗi vi phạm
quy định về vận chuyển hàng;luật chở đồ
siêu trường siêu trọng có giấy phép;xe quá khổ có bằng
siêu trọng có giấy phép lưu hành;xe nặng có giấy đi đường
không đúng theo quy định;trái luật
phạt tiền người điều khiển;phạt tiền tài xế
yêu cầu kiểm tra về nồng độ;đòi thổi cồn
kiểm tra về nồng độ cồn;thổi nồng độ cồn
quy định tại khoản 12;theo khoản 12
đường khi điều khiển;đường khi lái xe
tốc độ và nhường;tốc độ và nhường
điều khiển xe rẽ;lái xe quẹo
quy định trừ hành vi;quy định trừ lỗi
quy định tham gia giao thông;luật giao thông
danh sách hành khách theo quy định;danh sách khách đúng luật
tín hiệu báo hướng;đèn xi nhan
hoặc có tín hiệu;hoặc có đèn báo
trừ trường hợp điều khiển;trừ khi lái xe
đúng quy định mỗi;đúng luật mỗi
quy định mỗi lần;luật mỗi lần
đang điều khiển trừ;đang lái trừ
giấy phép đào tạo;giấy dạy lái
thời hiệu xử phạt vi phạm;hạn xử phạt
nộp lại giấy phép;trả lại bằng
nhiệm vụ theo quy định;đi làm đúng luật
quy định 2 phạt;quy định 2 phạt
tín hiệu báo trước;xi nhan trước
điều kiện theo quy định;điều kiện đúng luật
giấy phép đào tạo lái xe;phép dạy lái xe
giấy phép lái xe quốc gia;bằng lái trong nước
đúng theo quy định;đúng luật
phương tiện người điều khiển;xe và tài xế
phương tiện không gắn;xe không gắn
giấy phép của cơ quan;phép của nhà nước
trường hợp điều khiển xe;nếu lái xe
quy định 4 phạt;quy định 4 phạt
phương tiện đang điều khiển trừ;xe đang lái trừ
điều khiển trừ các hành vi;lái trừ các lỗi
vi phạm ghi;mắc lỗi ghi
phương tiện giao thông cơ giới đường bộ;xe máy xe hơi đi đường
đồng đối với chủ phương tiện;tiền cho chủ xe
hiệu lệnh của đèn tín hiệu;lệnh của đèn xanh đèn đỏ
xe theo đúng quy định;xe đúng luật
phương tiện vận tải;xe chở hàng/khách
quy định của luật;luật định
xe ô tô theo quy định;xe hơi đúng luật
trước khi đưa phương tiện;trước khi chạy xe ra
biển báo hiệu đường bộ đèn tín hiệu;biển báo và đèn giao thông
đường bộ đèn tín hiệu giao thông;đèn xanh đèn đỏ trên đường
cho lái xe theo quy định;cho tài xế đúng luật
ô tô theo quy định;xe hơi theo luật
đường bộ đèn tín hiệu;đèn giao thông
dữ liệu điểm giấy phép;điểm bằng lái
vụ việc vi phạm ghi;lỗi ghi trong
phương tiện bị tạm;xe bị giữ
buộc nộp lại giấy phép;bắt trả bằng
lái xe hoặc sử dụng giấy phép;lái hoặc dùng bằng
tiền người điều khiển;tiền tài xế
kiểm tra về nồng độ;thổi cồn
quản lý hành chính;quản lý hành chính
vi phạm để;mắc lỗi để
thu thập được bằng phương tiện;bắt được bằng xe
bằng phương tiện thiết bị kỹ thuật;bằng máy móc xe
không có giấy phép lái xe;không bằng lái
giấy phép lái xe hoặc sử dụng;bằng lái hoặc dùng
giấy phép xe;bằng xe
1968 cấp trừ giấy phép;1968 cấp trừ bằng
cấp trừ giấy phép lái xe;cấp trừ bằng lái
trừ giấy phép lái xe quốc tế;trừ bằng quốc tế
nhường đường khi điều khiển;nhường đường khi lái
đường khi điều khiển xe;đường khi lái xe
điện tử theo quy định;điện tử đúng luật
xử phạt bổ sung tước;phạt thêm thu bằng
cấp trừ giấy phép;cấp trừ bằng
trừ giấy phép lái xe;trừ bằng lái
quy định hoặc sử dụng;luật hoặc dùng
là người điều khiển phương tiện;là tài xế lái xe
điều khiển xe tham gia giao thông;lái xe trên đường
siêu trọng có giấy phép;xe nặng có bằng
trừ giấy phép;trừ bằng
thời hiệu xử phạt;hạn xử phạt
xuất xứ của phương tiện;xe từ đâu
phương tiện khi tham gia giao thông;xe khi đi đường
phương tiện khác;xe khác
điều khiển xe kéo;lái xe kéo
quy định mỗi;luật mỗi
vi phạm pháp luật;phạm luật
lái xe thực hiện hành vi quy định;lái xe mắc lỗi luật định
điều khiển trừ các hành vi vi phạm;lái trừ các lỗi mắc
mà không có giấy phép;mà không bằng lái
giảm tốc độ và nhường;đi chậm và nhường
tốc độ và nhường đường;tốc độ và nhường
quy định trừ hành vi vi phạm;quy định trừ lỗi vi phạm
loại phương tiện đang điều khiển trừ;loại xe đang lái trừ
đang điều khiển trừ các hành vi;đang lái trừ các lỗi
giấy phép lái xe không hợp lệ;bằng lái giả/hết hạn
hệ thống thông tin quản lý giấy phép;mạng quản lý bằng lái
thông tin quản lý giấy phép lái xe;tin bằng lái xe
bị tẩy xóa giấy phép;bị tẩy bằng lái
tẩy xóa giấy phép lái xe;tẩy bằng lái xe
hành chính về trật tự xã hội;hành chính trật tự
vừa thực hiện hành vi vi phạm;vừa mắc lỗi xong
xử phạt điều;phạt điều
đang điều khiển xe;đang lái xe
điều khiển xe ô tô thực hiện;lái xe hơi mắc lỗi
quy định xử phạt vi phạm hành chính;luật phạt hành chính
