Thuat_ngu_phap_ly_chuan,Tu_ngu_thong_thuong
môi trường theo quy định,môi trường theo quy định
áp dụng các hình thức xử phạt,áp dụng các hình thức xử phạt
hình thức xử phạt bổ sung sau,hình thức xử phạt bổ sung sau
quy định tại điểm e khoản,quy định tại điểm e khoản
nồng độ cồn vượt,nồng độ cồn vượt
không đúng nơi quy định,không đúng nơi quy định
nơi quy định,nơi quy định
điều khiển xe máy chuyên dùng,điều khiển xe máy chuyên dùng
hình thức xử phạt cá nhân,hình thức xử phạt cá nhân
xử phạt bổ sung sau đây,xử phạt bổ sung sau đây
hoặc không có tín hiệu,hoặc không có tín hiệu
thiết bị phát tín hiệu,thiết bị phát tín hiệu
giấy phép lái xe 10 điểm,giấy phép lái xe 10 điểm
áp dụng hình thức xử phạt cá nhân,áp dụng hình thức xử phạt cá nhân
điều khiển xe mô tô xe gắn máy,điều khiển xe mô tô xe gắn máy
ngay phương tiện không giữ,ngay phương tiện không giữ
làn đường không đúng quy định,làn đường không đúng quy định
không dừng ngay phương tiện,không dừng ngay phương tiện
trường hợp giấy phép,trường hợp giấy phép
lập biên bản vi phạm hành chính,lập biên bản vi phạm hành chính
phương tiện không giữ nguyên,phương tiện không giữ nguyên
trên phương tiện,trên phương tiện
phương tiện không giữ,phương tiện không giữ
hoạt động theo quy định,hoạt động theo quy định
tốc độ hoặc dừng lại,tốc độ hoặc dừng lại
điểm phục hồi điểm giấy phép,điểm phục hồi điểm giấy phép
trên xe theo quy định,trên xe theo quy định
sử dụng phương tiện,sử dụng phương tiện
áp dụng xử phạt như,áp dụng xử phạt như
bảo vệ môi trường theo quy định,bảo vệ môi trường theo quy định
áp dụng xử phạt,áp dụng xử phạt
dừng ngay phương tiện,dừng ngay phương tiện
phát hiện vi phạm,phát hiện vi phạm
mang theo giấy phép,mang theo giấy phép
tốc độ hoặc dừng,tốc độ hoặc dừng
hoặc sử dụng giấy phép,hoặc sử dụng giấy phép
khẩn cấp theo quy định,khẩn cấp theo quy định
quy định phải gắn,quy định phải gắn
vào đối với loại phương tiện,vào đối với loại phương tiện
giảm tốc độ hoặc dừng,giảm tốc độ hoặc dừng
ngay phương tiện,ngay phương tiện
nhiệm vụ khẩn cấp theo quy định,nhiệm vụ khẩn cấp theo quy định
quy định về điều kiện,quy định về điều kiện
quy định b thực hiện,quy định b thực hiện
không tuân thủ các quy định,không tuân thủ các quy định
bảo đảm an toàn theo quy định,bảo đảm an toàn theo quy định
quy định hiện hành,quy định hiện hành
nghiệp vụ phương tiện,nghiệp vụ phương tiện
điều khiển xe đạp,điều khiển xe đạp
vi phạm quy tắc giao thông đường bộ,vi phạm quy tắc giao thông đường bộ
phương tiện tham gia,phương tiện tham gia
vi phạm điều khiển,vi phạm điều khiển
không mang theo giấy phép,không mang theo giấy phép
quy định phải kiểm định,quy định phải kiểm định
điều khiển xe kể cả,điều khiển xe kể cả
xử phạt cá nhân tổ chức,xử phạt cá nhân tổ chức
quy định b điều khiển,quy định b điều khiển
hoặc sử dụng giấy phép lái xe,hoặc sử dụng giấy phép lái xe
thiết bị kỹ thuật nghiệp vụ phương tiện,thiết bị kỹ thuật nghiệp vụ phương tiện
nghiệp vụ phương tiện thiết bị kỹ thuật,nghiệp vụ phương tiện thiết bị kỹ thuật
đưa phương tiện có chứng nhận,đưa phương tiện có chứng nhận
phương tiện có chứng nhận đăng ký,phương tiện có chứng nhận đăng ký
đối với người điều khiển phương tiện,đối với người điều khiển phương tiện
ra quyết định xử phạt vi phạm,ra quyết định xử phạt vi phạm
bị thay đổi do vi phạm,bị thay đổi do vi phạm
thay đổi do vi phạm hành chính,thay đổi do vi phạm hành chính
quy định về biển số,quy định về biển số
trường hợp giấy phép lái xe,trường hợp giấy phép lái xe
thẩm quyền cấp giấy phép lái xe,thẩm quyền cấp giấy phép lái xe
quy định về biển,quy định về biển
thiết bị theo quy định,thiết bị theo quy định
quy định trong giấy phép lưu hành,quy định trong giấy phép lưu hành
phương tiện nhưng tổng mức,phương tiện nhưng tổng mức
quy định b thực hiện hành vi,quy định b thực hiện hành vi
phương tiện tham gia giao thông,phương tiện tham gia giao thông
hoặc có giấy phép,hoặc có giấy phép
tuân thủ các quy định,tuân thủ các quy định
điều khiển xe kể cả rơ moóc,điều khiển xe kể cả rơ moóc
quy định phải gắn biển,quy định phải gắn biển
100 số người quy định,100 số người quy định
đối với hành vi vi phạm điều khiển,đối với hành vi vi phạm điều khiển
hành vi vi phạm điều khiển xe,hành vi vi phạm điều khiển xe
hành chính có giá trị,hành chính có giá trị
thay đổi do vi phạm,thay đổi do vi phạm
để áp dụng xử phạt,để áp dụng xử phạt
xử phạt như chủ,xử phạt như chủ
như chủ phương tiện,như chủ phương tiện
tái phạm hành vi quy định,tái phạm hành vi quy định
thẩm quyền cấp giấy phép,thẩm quyền cấp giấy phép
thực hiện theo quy định,thực hiện theo quy định
kỹ thuật nghiệp vụ phương tiện,kỹ thuật nghiệp vụ phương tiện
phương tiện có chứng nhận,phương tiện có chứng nhận
vi phạm điều khiển xe,vi phạm điều khiển xe
phương tiện nhưng tổng,phương tiện nhưng tổng
an toàn theo quy định,an toàn theo quy định
hành vi vi phạm điều khiển,hành vi vi phạm điều khiển
vi phạm quy tắc giao thông,vi phạm quy tắc giao thông
ghi trong giấy phép,ghi trong giấy phép
xử phạt cá nhân tổ chức thực hiện,xử phạt cá nhân tổ chức thực hiện
bị tịch thu phương tiện,bị tịch thu phương tiện
vi phạm quy tắc,vi phạm quy tắc
sử dụng thiết bị phát tín hiệu,sử dụng thiết bị phát tín hiệu
ghi trong biên bản vi phạm,ghi trong biên bản vi phạm
đối tượng để áp dụng xử phạt,đối tượng để áp dụng xử phạt
để áp dụng xử phạt như,để áp dụng xử phạt như
áp dụng xử phạt như chủ,áp dụng xử phạt như chủ
xử phạt như chủ phương tiện,xử phạt như chủ phương tiện
vi phạm hành chính có giá trị,vi phạm hành chính có giá trị
điều khiển xe đạp xe đạp,điều khiển xe đạp xe đạp
trường hợp quy định,trường hợp quy định
thu hồi giấy phép,thu hồi giấy phép
giấy phép lái xe bị tẩy,giấy phép lái xe bị tẩy
điều khiển xe đi qua,điều khiển xe đi qua
vi phạm hành chính đối với hành vi,vi phạm hành chính đối với hành vi
hành chính đối với hành vi vi phạm,hành chính đối với hành vi vi phạm
tốc độ tối thiểu,tốc độ tối thiểu
vi phạm quy định về điều kiện,vi phạm quy định về điều kiện
quá số người quy định,quá số người quy định
quy định b điều khiển xe,quy định b điều khiển xe
áp dụng hình thức xử phạt bổ sung,áp dụng hình thức xử phạt bổ sung
điều khiển xe đạp xe đạp máy,điều khiển xe đạp xe đạp máy
vi phạm hành chính đ áp dụng,vi phạm hành chính đ áp dụng
cấp lại giấy phép,cấp lại giấy phép
đối với phương tiện,đối với phương tiện
mang theo giấy phép lái xe,mang theo giấy phép lái xe
trừ trường hợp có giấy phép,trừ trường hợp có giấy phép
trường hợp có giấy phép lưu hành,trường hợp có giấy phép lưu hành
điều khiển xe lạng lách,điều khiển xe lạng lách
phương tiện ra tham gia giao thông,phương tiện ra tham gia giao thông
điều khiển xe tham gia,điều khiển xe tham gia
từng hành vi vi phạm,từng hành vi vi phạm
giữ phương tiện,giữ phương tiện
lại giấy phép chứng chỉ hành nghề,lại giấy phép chứng chỉ hành nghề
đúng quy định về biển,đúng quy định về biển
đưa phương tiện ra tham gia,đưa phương tiện ra tham gia
phương tiện kinh doanh,phương tiện kinh doanh
hướng dẫn của người điều khiển,hướng dẫn của người điều khiển
điều khiển xe kéo theo rơ moóc,điều khiển xe kéo theo rơ moóc
hành chính đối với hành vi,hành chính đối với hành vi
trường hợp có giấy phép,trường hợp có giấy phép
hồ sơ theo quy định,hồ sơ theo quy định
phương tiện ra tham gia,phương tiện ra tham gia
lại giấy phép chứng chỉ,lại giấy phép chứng chỉ
điều khiển xe lạng lách đánh võng,điều khiển xe lạng lách đánh võng
phương tiện đối với người điều khiển,phương tiện đối với người điều khiển
tạm giữ phương tiện,tạm giữ phương tiện
vi phạm theo quy định,vi phạm theo quy định
nơi phát hiện vi phạm,nơi phát hiện vi phạm
vi phạm điều khiển xe ô tô,vi phạm điều khiển xe ô tô
vi phạm quy định về vận chuyển,vi phạm quy định về vận chuyển
hành chính đ áp dụng,hành chính đ áp dụng
chủ phương tiện vi phạm,chủ phương tiện vi phạm
những hành vi vi phạm,những hành vi vi phạm
điều khiển xe kéo theo rơ moóc sơ mi,điều khiển xe kéo theo rơ moóc sơ mi
không hoạt động theo quy định,không hoạt động theo quy định
quy định đối với loại,quy định đối với loại
quy định về vận chuyển,quy định về vận chuyển
hành khách theo quy định,hành khách theo quy định
lại giấy phép lái xe,lại giấy phép lái xe
thời gian quy định,thời gian quy định
đường quy định,đường quy định
xe trừ hành vi vi phạm,xe trừ hành vi vi phạm
phương tiện thực hiện hành vi quy định,phương tiện thực hiện hành vi quy định
quy định tại điều 13,quy định tại điều 13
đối với giấy phép,đối với giấy phép
điều khiển xe ô tô chở,điều khiển xe ô tô chở
đến giải quyết vụ việc vi phạm,đến giải quyết vụ việc vi phạm
phương tiện người điều khiển phương tiện,phương tiện người điều khiển phương tiện
đúng quy định mỗi lần,đúng quy định mỗi lần
quy định mỗi lần chuyển,quy định mỗi lần chuyển
dữ liệu điểm giấy phép lái xe,dữ liệu điểm giấy phép lái xe
giấy phép lái xe được phục hồi,giấy phép lái xe được phục hồi
giải quyết vụ việc vi phạm ghi,giải quyết vụ việc vi phạm ghi
vi phạm ghi trong biên bản,vi phạm ghi trong biên bản
phương tiện bị tạm giữ,phương tiện bị tạm giữ
quản lý hành chính về trật tự,quản lý hành chính về trật tự
tín hiệu báo hướng rẽ,tín hiệu báo hướng rẽ
trừ trường hợp điều khiển xe,trừ trường hợp điều khiển xe
quy định 4 phạt tiền,quy định 4 phạt tiền
giấy phép lái xe đối với trường hợp,giấy phép lái xe đối với trường hợp
không đúng quy định mỗi,không đúng quy định mỗi
bằng phương tiện,bằng phương tiện
đối với những hành vi vi phạm,đối với những hành vi vi phạm
trường hợp điều khiển,trường hợp điều khiển
quy định không có báo hiệu,quy định không có báo hiệu
xe quy định tại điều,xe quy định tại điều
đầy đủ hồ sơ theo quy định,đầy đủ hồ sơ theo quy định
cấp lại giấy phép lái xe,cấp lại giấy phép lái xe
hình thức xử phạt bổ sung tước,hình thức xử phạt bổ sung tước
xử phạt bổ sung tước quyền,xử phạt bổ sung tước quyền
đổi cấp lại giấy phép,đổi cấp lại giấy phép
xử phạt các hành vi vi phạm,xử phạt các hành vi vi phạm
xử phạt đối với các hành vi,xử phạt đối với các hành vi
phương tiện điều,phương tiện điều
xóa giấy phép,xóa giấy phép
quản lý giấy phép,quản lý giấy phép
quy định tham gia,quy định tham gia
xử phạt đối với chủ phương tiện,xử phạt đối với chủ phương tiện
làm nhiệm vụ theo quy định,làm nhiệm vụ theo quy định
quy định 2 phạt tiền,quy định 2 phạt tiền
giấy phép lái xe không thời hạn,giấy phép lái xe không thời hạn
giấy phép lái xe có thời hạn,giấy phép lái xe có thời hạn
thời hạn khi người điều khiển,thời hạn khi người điều khiển
ô tô thực hiện hành vi vi phạm,ô tô thực hiện hành vi vi phạm
phương tiện không có giấy tờ,phương tiện không có giấy tờ
thì bị tịch thu phương tiện,thì bị tịch thu phương tiện
điều khiển xe không gắn,điều khiển xe không gắn
nguồn gốc xuất xứ của phương tiện,nguồn gốc xuất xứ của phương tiện
thời hiệu xử phạt vi phạm hành chính,thời hiệu xử phạt vi phạm hành chính
phương tiện khi tham gia,phương tiện khi tham gia
rơ moóc b điều khiển,rơ moóc b điều khiển
là người điều khiển,là người điều khiển
điều kiện của phương tiện,điều kiện của phương tiện
xử phạt các hành vi,xử phạt các hành vi
tẩy xóa giấy phép,tẩy xóa giấy phép
xóa giấy phép lái xe,xóa giấy phép lái xe
quy định đối với loại xe,quy định đối với loại xe
sơ mi rơ moóc b điều khiển,sơ mi rơ moóc b điều khiển
rơ moóc b điều khiển xe,rơ moóc b điều khiển xe
thông tin quản lý giấy phép,thông tin quản lý giấy phép
quản lý giấy phép lái xe,quản lý giấy phép lái xe
hành vi vi phạm để,hành vi vi phạm để
sát hạch theo quy định,sát hạch theo quy định
cảnh sát quản lý hành chính,cảnh sát quản lý hành chính
xử phạt đối với chủ,xử phạt đối với chủ
đối với giấy phép lái xe,đối với giấy phép lái xe
phương tiện kinh doanh vận tải,phương tiện kinh doanh vận tải
phương tiện vi phạm quy định,phương tiện vi phạm quy định
đối với từng hành vi vi phạm,đối với từng hành vi vi phạm
quy định về vận chuyển hàng,quy định về vận chuyển hàng
siêu trường siêu trọng có giấy phép,siêu trường siêu trọng có giấy phép
siêu trọng có giấy phép lưu hành,siêu trọng có giấy phép lưu hành
không đúng theo quy định,không đúng theo quy định
phạt tiền người điều khiển,phạt tiền người điều khiển
yêu cầu kiểm tra về nồng độ,yêu cầu kiểm tra về nồng độ
kiểm tra về nồng độ cồn,kiểm tra về nồng độ cồn
quy định tại khoản 12,quy định tại khoản 12
đường khi điều khiển,đường khi điều khiển
tốc độ và nhường,tốc độ và nhường
điều khiển xe rẽ,điều khiển xe rẽ
quy định trừ hành vi,quy định trừ hành vi
quy định tham gia giao thông,quy định tham gia giao thông
danh sách hành khách theo quy định,danh sách hành khách theo quy định
tín hiệu báo hướng,tín hiệu báo hướng
hoặc có tín hiệu,hoặc có tín hiệu
trừ trường hợp điều khiển,trừ trường hợp điều khiển
đúng quy định mỗi,đúng quy định mỗi
quy định mỗi lần,quy định mỗi lần
đang điều khiển trừ,đang điều khiển trừ
giấy phép đào tạo,giấy phép đào tạo
thời hiệu xử phạt vi phạm,thời hiệu xử phạt vi phạm
nộp lại giấy phép,nộp lại giấy phép
nhiệm vụ theo quy định,nhiệm vụ theo quy định
quy định 2 phạt,quy định 2 phạt
tín hiệu báo trước,tín hiệu báo trước
điều kiện theo quy định,điều kiện theo quy định
giấy phép đào tạo lái xe,giấy phép đào tạo lái xe
giấy phép lái xe quốc gia,giấy phép lái xe quốc gia
đúng theo quy định,đúng theo quy định
phương tiện người điều khiển,phương tiện người điều khiển
phương tiện không gắn,phương tiện không gắn
giấy phép của cơ quan,giấy phép của cơ quan
trường hợp điều khiển xe,trường hợp điều khiển xe
quy định 4 phạt,quy định 4 phạt
phương tiện đang điều khiển trừ,phương tiện đang điều khiển trừ
điều khiển trừ các hành vi,điều khiển trừ các hành vi
vi phạm ghi,vi phạm ghi
phương tiện giao thông cơ giới đường bộ,phương tiện giao thông cơ giới đường bộ
đồng đối với chủ phương tiện,đồng đối với chủ phương tiện
hiệu lệnh của đèn tín hiệu,hiệu lệnh của đèn tín hiệu
xe theo đúng quy định,xe theo đúng quy định
phương tiện vận tải,phương tiện vận tải
quy định của luật,quy định của luật
xe ô tô theo quy định,xe ô tô theo quy định
trước khi đưa phương tiện,trước khi đưa phương tiện
biển báo hiệu đường bộ đèn tín hiệu,biển báo hiệu đường bộ đèn tín hiệu
đường bộ đèn tín hiệu giao thông,đường bộ đèn tín hiệu giao thông
cho lái xe theo quy định,cho lái xe theo quy định
ô tô theo quy định,ô tô theo quy định
đường bộ đèn tín hiệu,đường bộ đèn tín hiệu
dữ liệu điểm giấy phép,dữ liệu điểm giấy phép
vụ việc vi phạm ghi,vụ việc vi phạm ghi
phương tiện bị tạm,phương tiện bị tạm
buộc nộp lại giấy phép,buộc nộp lại giấy phép
lái xe hoặc sử dụng giấy phép,lái xe hoặc sử dụng giấy phép
tiền người điều khiển,tiền người điều khiển
kiểm tra về nồng độ,kiểm tra về nồng độ
quản lý hành chính,quản lý hành chính
vi phạm để,vi phạm để
thu thập được bằng phương tiện,thu thập được bằng phương tiện
bằng phương tiện thiết bị kỹ thuật,bằng phương tiện thiết bị kỹ thuật
không có giấy phép lái xe,không có giấy phép lái xe
giấy phép lái xe hoặc sử dụng,giấy phép lái xe hoặc sử dụng
giấy phép xe,giấy phép xe
1968 cấp trừ giấy phép,1968 cấp trừ giấy phép
cấp trừ giấy phép lái xe,cấp trừ giấy phép lái xe
trừ giấy phép lái xe quốc tế,trừ giấy phép lái xe quốc tế
nhường đường khi điều khiển,nhường đường khi điều khiển
đường khi điều khiển xe,đường khi điều khiển xe
điện tử theo quy định,điện tử theo quy định
xử phạt bổ sung tước,xử phạt bổ sung tước
cấp trừ giấy phép,cấp trừ giấy phép
trừ giấy phép lái xe,trừ giấy phép lái xe
quy định hoặc sử dụng,quy định hoặc sử dụng
là người điều khiển phương tiện,là người điều khiển phương tiện
điều khiển xe tham gia giao thông,điều khiển xe tham gia giao thông
siêu trọng có giấy phép,siêu trọng có giấy phép
trừ giấy phép,trừ giấy phép
thời hiệu xử phạt,thời hiệu xử phạt
xuất xứ của phương tiện,xuất xứ của phương tiện
phương tiện khi tham gia giao thông,phương tiện khi tham gia giao thông
phương tiện khác,phương tiện khác
điều khiển xe kéo,điều khiển xe kéo
quy định mỗi,quy định mỗi
vi phạm pháp luật,vi phạm pháp luật
lái xe thực hiện hành vi quy định,lái xe thực hiện hành vi quy định
điều khiển trừ các hành vi vi phạm,điều khiển trừ các hành vi vi phạm
mà không có giấy phép,mà không có giấy phép
giảm tốc độ và nhường,giảm tốc độ và nhường
tốc độ và nhường đường,tốc độ và nhường đường
quy định trừ hành vi vi phạm,quy định trừ hành vi vi phạm
loại phương tiện đang điều khiển trừ,loại phương tiện đang điều khiển trừ
đang điều khiển trừ các hành vi,đang điều khiển trừ các hành vi
giấy phép lái xe không hợp lệ,giấy phép lái xe không hợp lệ
hệ thống thông tin quản lý giấy phép,hệ thống thông tin quản lý giấy phép
thông tin quản lý giấy phép lái xe,thông tin quản lý giấy phép lái xe
